Symbol,Security Name,Exchange
AUVI,"Applied UV, Inc. - Common Stock",NASDAQ
AVAV,"AeroVironment, Inc. - Common Stock",NASDAQ
AVCO,Avalon GloboCare Corp. - Common Stock,NASDAQ
AVCT,"American Virtual Cloud Technologies, Inc.  - Common Stock",NASDAQ
AVCTW,"American Virtual Cloud Technologies, Inc.  - Warrant expiring 4/7/2020",NASDAQ
AVDL,Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share,NASDAQ
AVEO,"AVEO Pharmaceuticals, Inc. - Common Stock",NASDAQ
AVGO,Broadcom Inc. - Common Stock,NASDAQ
AVGOP,"Broadcom Inc. - 8.00% Mandatory Convertible Preferred Stock, Series A",NASDAQ
AVGR,"Avinger, Inc. - Common Stock",NASDAQ
AVID,"Avid Technology, Inc. - Common Stock",NASDAQ
AVIR,"Atea Pharmaceuticals, Inc. - common stock",NASDAQ
AVNW,"Aviat Networks, Inc. - Common Stock",NASDAQ
AVO,"Mission Produce, Inc. - Common Stock",NASDAQ
AVRO,"AVROBIO, Inc. - Common Stock",NASDAQ
AVT,"Avnet, Inc. - Common Stock",NASDAQ
AVXL,Anavex Life Sciences Corp. - Common Stock,NASDAQ
AWH,Aspira Women's Health Inc. - Common Stock,NASDAQ
AWRE,"Aware, Inc. - Common Stock",NASDAQ
AXAS,Abraxas Petroleum Corporation - Common Stock,NASDAQ
AXDX,"Accelerate Diagnostics, Inc. - Common Stock",NASDAQ
AXGN,"Axogen, Inc. - Common Stock",NASDAQ
AXLA,Axcella Health Inc. - Common Stock,NASDAQ
AXNX,"Axonics Modulation Technologies, Inc. - Common Stock",NASDAQ
AXON,"Axon Enterprise, Inc. - Common Stock",NASDAQ
AXSM,"Axsome Therapeutics, Inc. - Common Stock",NASDAQ
AXTI,AXT Inc - Common Stock,NASDAQ
AY,Atlantica Sustainable Infrastructure plc - Ordinary Shares,NASDAQ
AYLA,"Ayala Pharmaceuticals, Inc. - Common Stock",NASDAQ
AYRO,"AYRO, Inc. - Common Stock",NASDAQ
AYTU,"Aytu BioScience, Inc. - Common Stock",NASDAQ
AZN,AstraZeneca PLC - American Depositary Shares,NASDAQ
AZPN,"Aspen Technology, Inc. - Common Stock",NASDAQ
AZRX,"AzurRx BioPharma, Inc. - Common Stock",NASDAQ
AZYO,"Aziyo Biologics, Inc. - Class A Common Stock",NASDAQ
BAND,Bandwidth Inc. - Class A Common Stock,NASDAQ
BANF,BancFirst Corporation - Common Stock,NASDAQ
BANFP,BancFirst Corporation - 7.2% Cumulative Trust Preferred Securities,NASDAQ
BANR,Banner Corporation - Common Stock,NASDAQ
BANX,StoneCastle Financial Corp - Common Stock,NASDAQ
BAOS,Baosheng Media Group Holdings Limited - Ordinary shares,NASDAQ
BASI,"Bioanalytical Systems, Inc. - Common Stock",NASDAQ
BATRA,Liberty Media Corporation - Series A Liberty Braves Common Stock,NASDAQ
BATRK,Liberty Media Corporation - Series C Liberty Braves Common Stock,NASDAQ
BBBY,Bed Bath & Beyond Inc. - Common Stock,NASDAQ
BBCP,"Concrete Pumping Holdings, Inc.  - Common Stock",NASDAQ
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",NASDAQ
BBH,VanEck Vectors Biotech ETF,NASDAQ
BBI,"Brickell Biotech, Inc. - Common Stock",NASDAQ
BBIG,"Vinco Ventures, Inc. - Common Stock",NASDAQ
BBIO,"BridgeBio Pharma, Inc. - Common Stock",NASDAQ
BBQ,"BBQ Holdings, Inc.  - Common Stock",NASDAQ
BBSI,"Barrett Business Services, Inc. - Common Stock",NASDAQ
BCAB,"BioAtla, Inc. - Common Stock",NASDAQ
BCAC,Brookline Capital Acquisition Corp. - Common Stock,NASDAQ
BCACU,Brookline Capital Acquisition Corp. - Units,NASDAQ
BCACW,Brookline Capital Acquisition Corp. - Warrant,NASDAQ
BCBP,"BCB Bancorp, Inc. (NJ) - Common Stock",NASDAQ
BCDA,"BioCardia, Inc. - Common Stock",NASDAQ
BCDAW,"BioCardia, Inc. - Warrant",NASDAQ
BCEL,"Atreca, Inc. - Class A Common Stock",NASDAQ
BCLI,Brainstorm Cell Therapeutics Inc. - Common Stock,NASDAQ
BCML,BayCom Corp - Common Stock,NASDAQ
